,sample_id,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,predicted
545,546,eas,-0.17611724744030297,-0.23762492669186763,-0.08639016715693178,0.009064018353897642,0.02875261746988304,0.025683797994996337,-0.14982271192432076,-0.014728959111569281,0.10065440085383222,-0.01410665643667241,True
546,547,eas,-0.16835911180625682,-0.18920747182157896,-0.16351553856858717,0.03146591461115225,0.051753955289682144,0.07803470822558305,-0.028846241988040918,0.023718938434543695,0.009652508598788186,-0.04719386022390205,False
547,548,eas,-0.1750986972850828,-0.19680286413928866,-0.16754238796640353,0.03005772530101318,0.06034809984612846,0.08446324221702929,-0.02815211152728789,0.015402454877957633,0.007681112701229779,-0.050805559650895435,False
548,549,eas,-0.16985748773164103,-0.18375732691469124,-0.17129760604276856,0.02990871046525172,0.06316361217306149,0.07532326316532495,-0.011824876772724554,0.02738961694708433,-0.0006891525082990914,-0.03528360238858348,False
549,550,eas,-0.16694582017313145,-0.18028415481231208,-0.1669394843581773,0.03151078294331578,0.05409277945661187,0.07319747179304159,-0.021688063276892013,0.03209677307509388,0.0018539590598191506,-0.034254727177261995,True
550,551,afr,0.38908765973633613,-0.07231799767461689,0.08328240136674235,-0.015679108069624744,-0.04925363294687084,-0.03404908492891192,-0.09989897828993656,-0.03268060304778986,0.12830701059736727,-0.03616859857916675,False
551,552,afr,0.36380915067541014,-0.00033902295719373223,-0.0064653103351876035,0.004702041800478616,-0.004776385245615447,0.025193876627228908,0.05479948254255996,0.024788598105699892,0.010732446355764215,-0.08076044555128722,False
552,553,afr,0.40734023643601663,-0.024911941410436608,-0.010714832019402775,0.007997801917590948,0.007391116771181423,0.02652991540536497,0.05117108433027861,0.053189301061794494,-0.005529754687311043,0.01856052356397277,False
553,554,afr,0.3557407553229022,0.0050388305844585,-0.007623593489474013,0.010854315226618115,0.004501643805851066,0.032831349144332056,0.03231236762503027,0.03286752144926939,-0.03280789379405922,-0.00345980363684476,True
554,555,amr,-0.16669386519874155,-0.11973889620853564,0.1476440398672231,0.2035113805630117,-0.3274750643068874,-0.1037941875239881,0.046654765324074164,-0.029107421607301363,0.054912263061479935,0.02782655152372261,False
555,556,afr,0.3771590126508943,-0.00648884176977232,-0.008767874361673929,0.0011835993571219499,0.006193761904810672,0.03157840146346018,0.03954877959643491,0.04066932271546531,-0.02851368376617096,-0.015075249891024312,False
556,557,afr,0.36586909164999876,-0.002299622069858762,-0.009220514168451882,0.00837994421676016,0.003363047263168441,0.03453038868614188,0.04029963779728753,0.060531642265516834,-0.017700077282076402,0.006047777315538744,False
557,558,amr,-0.21519638022060764,-0.11176825790060661,0.14876567793082643,0.20250547242163677,-0.3296524077328928,-0.10779843798125817,0.03905000350730074,-0.03456011156167394,0.05766676954600985,0.02999605966181829,False
558,559,amr,-0.23254495808566616,-0.17117861698200845,0.1256099916818344,0.27945178923477915,-0.39401290182889076,-0.16469674846109805,0.04414548047028163,-0.043461302093238376,0.05713459565230563,0.021019844319943744,True
559,560,amr,-0.2199414465046969,-0.1535633820054625,0.11511653991413563,0.270073124105923,-0.359921775956204,-0.14654620173528912,0.05419861281979984,-0.05008658197649665,0.05324163692159043,0.027873566772517063,False
560,561,amr,-0.18142119189376915,-0.061553534044154194,-0.05134374747098637,0.3357153597513787,-0.21713836682991608,-0.18884680774789442,-0.052775246451369634,-0.05319455216260992,0.07055203337168726,0.011593878696013037,True
